Problem Details,Date Entered,group
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
"I was looking for a list of all of the vaccines Canada has ordered, but did not see it.",2020-12-11,looking for a list of ingredients used in the vaccine to see if I may be allergic to it
How many people died from the vaccination trial,2020-12-11,How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?
Tree nut allergy will this cause vaccination not recommended,2020-12-11,Will this experimental vaccination cause less deaths or hospitalizations
when do we get the vaccine??,2020-12-11,Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?
what IS in this vaccine??,2020-12-12,What is in this vaccine ???
I want to know how soon we can get it not who it is developed by.,2020-12-12,I’m a Senior and want to know when I can get the Vaccine-and where
Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?,2020-12-12,Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?
"I can't find out when the vaccinations of the population start. I've heard from other sources that it'll start on the 15th December, but it would have been useful if the government gave information here on their website, unless it's already there somewhere obscure?",2020-12-12,when will the vaccination of seniors (over 80) start
How does the public proceed to be in line  for vaccination,2020-12-13,Does the vaccine contain penicillin?
Qwhn# ### ### ###,2020-12-13,Qwhn# ### ### ###
How many shots for each province,2020-12-13,How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?
Data on vaccine during pregnancy,2020-12-13,Vaccine safe for pregnancy
Is it safe for pregnant women?,2020-12-13,Is it safe for pregnant women?
I want to know if you have to test before you get vaccine for COVID-19,2020-12-14,Can you still get the vaccine if you have been tested positive?
does the vaccine will be given with a coding syringe? if yes why and can we be agree to that or not,2020-12-14,Does the vaccine contain penicillin?
How to to be eligible for COVID vaccine,2020-12-14,Ingredients list for covid -19 vaccine
I need to know the contents of the Pfizer vaccine,2020-12-14,I need to know the contents of the Pfizer vaccine
Hi there. I was tested positive for Covid 19 in March. I am still recovering and have a lot of neurological issues and ongoing fatigue. I am wanting to know if taking the vaccine for Covid 19 will cause me to experience any worsening of symptoms.,2020-12-14,Who cannot take the vaccine for COVID 19
I am looking for information on when meetings are taking place to discuss / approve other Covid-19 vaccines.,2020-12-14,Looking for information on the variant strain in the UK
How will Canadians get vaccinated ?,2020-12-14,How will we go about getting vaccinated in BC?
I need to know the numbers of the covid 19 vaccine number to phone,2020-12-14,I need to know the contents of the Pfizer vaccine
I’m trying to find my results from my COVID test.,2020-12-14,I’m trying to find my results from my COVID test.
Is the vacine a live virus?,2020-12-15,What is the ingredients?
"I’m allergic to penicillin ,Sulla and have seizures and asmatha is it recommended that I get this vaccine",2020-12-15,I am allergic to penicillin will I still be able to get vaccinated
how much does vaccine cost and how to report a bad reaction ??,2020-12-15,allergic reaction.
was looking for info on how to get it,2020-12-15,was looking for info on how to get it
THE CONSENT FOR THE VACCINE,2020-12-15,I have RA. That a contraindication for the vaccine?
Guidelines for covid vaccine for pregnant and nursing women,2020-12-15,Ingredients list for covid -19 vaccine
Guidance HCP,2020-12-15,Guidance HCP
when will the vaccination of seniors (over 80) start,2020-12-15,when will the vaccination of seniors (over 80) start
Do you isolate after receiving vaccine for covid 19,2020-12-15,Who cannot take the vaccine for COVID 19
"When can I expect to get the vaccine? Where will I get the vaccine?
 Once the general public can get a vaccine will there be a waiting list?
 I will need a vaccine to return to work. I have now been out of work for 8 months.",2020-12-15,where do i go to get the vaccine
I was wishing to know where the vaccines are made!,2020-12-15,Where is the vaccine made???
What age in new Brunswick do you have to be in this recent vaccine to be able to take now.,2020-12-16,I am allergic to penicillin will I still be able to get vaccinated
How does a senior over 80 book a vaccine ?,2020-12-16,when will the vaccination of seniors (over 80) start
"I'm looking for information regarding who, when and where one might get the vaccine.",2020-12-16,When and where to get vaccinated?
I am curious as to when is Kingston getting the vaccines 💉?,2020-12-16,where do i go to get the vaccine
"I'd like to know the vaccine rollout plan e.g., priorities.",2020-12-16,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
I’m wondering will we in Stephenville area be getting the vaccine for covid 19,2020-12-16,Who cannot take the vaccine for COVID 19
what people should not get vacines,2020-12-16,who should not get vacinated
"where to get vaccinated  in toronto, for covid",2020-12-16,When and where to get vaccinated?
when available to public,2020-12-16,Where and when?
"How to get the vaccine for seniors living independently. Through their doctor, clinic, etc?",2020-12-16,where do i go to get the vaccine
Other vaccines,2020-12-17,Other vaccines
"If you have had COVID-19 with all the symptoms, is it really necessary to have the vaccine? Wouldn’t you already have the  T and B memory cells? And probably in abundance?",2020-12-17,Who can have the vaccine
what is the anticipated shipment Rate of the vaccines? In laymans terms how many can be expected to be in peoples arms per month each month?,2020-12-17,What is the ingredients?
Want to know other vaccines for COVID being approved,2020-12-17,Other vaccines
Want to know list of other vaccines soon to be ready,2020-12-17,Other vaccines
Looking for the schedule for the vaccine in BC.,2020-12-17,I am looking for the ingredients of the covid vaccine
"If I have received the vaccine, can I travel back to Canada without having to quarantine?",2020-12-17,Do u take it if u have an allergy
Do I have to register to get covid vaccination,2020-12-17,where do i go to get the vaccine
I wanted to read about the different types of vaccines not just THE ONLY ONE Canada has right now and is offering.,2020-12-17,I want to know the ingredients in the Covid-19 vaccine.
I am looking for a simple answer. How many people has been vaccinated so far. What is the plan?,2020-12-18,What is the ingredients?
I want to know when vaccine is available.,2020-12-18,I’m a Senior and want to know when I can get the Vaccine-and where
Where and When do I receive the vaccine as I do qualify now for vaccination.,2020-12-18,Where and when?
I am looking for how to protect my constitutional right to refuse a vaccine on the grounds that the government has no right to disregard my freedom of choice,2020-12-18,I am looking for the ingredients of the covid vaccine
when is the vaccination starting on the Waterloo Region ??? ...,2020-12-18,Where is the vaccine made???
I’m a Senior and want to know when I can get the Vaccine-and where,2020-12-18,I’m a Senior and want to know when I can get the Vaccine-and where
I was looking for info on Moderna vaccine.,2020-12-18,was looking for info on how to get it
When will northern Ontario get the vacine,2020-12-18,when will the vaccination of seniors (over 80) start
When will we receive COVID-19 vaccine,2020-12-18,when will the vaccination of seniors (over 80) start
"Where and when can I receive a covid-19 vaccine? I am in a high risk demographic.
 Thank you",2020-12-18,Where and when?
Has the government protected the vaccine manufacturer from product  liability,2020-12-19,Where is it manufactured
"I'm up to date on all vaccinations, but you won't make anyone take this one. I hope you treasonous cowards are put in jail for life.",2020-12-19,I have a transplant. Can I take this vaccine?
I'm looking for the daily number of vaccines that was administered to healthcare workers along with clients.,2020-12-20,I am looking for the ingredients of the covid vaccine
what is the status of other vaccine's,2020-12-20,Other vaccines
Looking for information on the COVID 19 vaccine and trying to conceive. What happens if I get the first dose and then get pregnant before I can get the second dose.,2020-12-20,Looking for information on the variant strain in the UK
A bunch od lies and propaganda instead of honest and thorough information. Shame on you.,2020-12-20,Where and when?
where do i go to get the vaccine,2020-12-20,where do i go to get the vaccine
How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?,2020-12-21,How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?
What order is the vaccine being given,2020-12-21,Where is the vaccine made???
Where and when?,2020-12-21,Where and when?
is taxi driver included in essential workers for vacation priority,2020-12-21,Is the covid vaccine mandatory for health workers  and long term home residents ?
Is there a mutated version of the virus that is much more contagious than the Covid 19 in Canada like the one on England,2020-12-21,I am looking for the ingredients of the covid vaccine
Second effect of vaccine,2020-12-21,List of side effects
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
Can a 69 year old man with CLL in remission get the vaccine,2020-12-11,Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?
What is the primary source used to make this vaccine. Human or animal anti bodies,2020-12-11,What is the ingredients?
What is in this vaccine ???,2020-12-11,What is in this vaccine ???
Boilerplate.  Addresses healthy people.  How will the vaccine effect people with moderate to serious medical conditions?  Children.,2020-12-11,Reactions for people with auto-immune conditions
Does the vaccine contain penicillin?,2020-12-11,Does the vaccine contain penicillin?
Will the vaccine stop the spread of covid 19,2020-12-11,when will the vaccination of seniors (over 80) start
"Who is liable for harm, disability or death caused by the vaccine?",2020-12-11,Will this experimental vaccination cause less deaths or hospitalizations
