Comment,Lang,Tags confirmed,Model function,Tags
Prestation pcu pour les employés à faible revenu,FR,checked,Business,Essential services and frontline workers
"disability one time payment
",EN,checked,Business,Disabilities allowance
"innocence Canada gets critical funding in fight for the wrongfully convicted

TORONTO An organization that has helped exonerate more than 20 Canadians wrongfully convicted of serious crimes is receiving much needed funding that will permit it to resume tackling new cases.

purity Canada, Which s",EN,,Business,
"Bonjour collègues, c'est Akim ici!
Bonne journée! ",FR,,Business,
how to repay cerb,EN,checked,Business,CERB
i want to know when can we expect the refund from cecra program,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
we have a small vending machine business and we can't access our machines because they are in locked down areas,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Où contacter lors d'une erreur sur mon dossier de prestations régulières d'A-E,FR,checked,Business,EI and internet reporting
changement d'adresse,FR,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
Où est-ce que je commence ma demande de PCU pour particulier? On me donne de l'info mais nulle part n'y a t'illa section pour débuter ma demande où est-elle?,FR,checked,Business,CERB
"I applied for CEBA over 3 weeks ago, no response. Can someone contact me about this# ### ### ###",EN,checked,Business,CEBA
Jai pas recue mon pcu,FR,checked,Business,CERB
"We own our business
Property
Need
Buss  relate to travel
And shut  down since March
But have to pay   city  taxes   condo  fee and  utility
Cant  get  rent  assistance  do  not have  rent  to  pay
How  can  I  get help to  pay   city  taxes ut and condo fee    etc
Call  me   403  735 6090
Than",EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
"Ryan test - What will this be for tagging, I need money",EN,,Business,Disabilities allowance
looking where to apply as a health care worker for the subsidy,EN,checked,Business,Essential services and frontline workers
how to make bi-weekly report for CERB,EN,checked,Business,EI and internet reporting
How too pay back payment,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Je chercher de l'aide  pour les travailleur indispensable,FR,checked,Business,Essential services and frontline workers
"I need the Canada Emergency Commercial Rent Assistance
Prequalification Form , with the chose options active the one I received dont show the option ",EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
CEBA delays,EN,checked,Business,CEBA
My wife and I are seniors and in our bank account we received a payment of $300 July 6. Should it have been $600 for both of us?,EN,checked,Business,Seniors (including OAS / GIS / CPP)
I need the contact number for Ceba program.,EN,checked,Business,"CEBA, Contact someone / get address"
"I need to know if an international student can apply for the student benefit. I am full time, I payed taxes for 2019, and I have not find any job in the latest month. I also care for my two kids.",EN,checked,Business,Students / CESB / CSSG
"I would like to know if a person becomes eligible for OAS in June 2020, are they then also eligible for the Covid19 seniors benefit.",EN,checked,Business,Seniors (including OAS / GIS / CPP)
Support to communities,EN,checked,Business,Nonprofit / community support
i tried logging in at my account. then i cant log in then i decided to changed my username and password. but still not logging me in,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
is there a self isolation pay ?,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
"after CERB
",EN,checked,Business,CERB
What other benefits are there that a person can apply to if they aren't eligible for CERB but had to be off work for 14 days due to COVID 19,EN,checked,Business,"Employees / job seekers / seasonal / gig / self-employed, Individual support (help finding support / other benefits / personal finances)"
"can i apply for canada.ca account, even though i have a cra account?",EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
Et pour les exploitants forestiers,FR,checked,Business,Audiences (Veterans / Indigenous people / Industry)
Je suis de retour au Canada depuis le 1 août car mon contrat de travail est terminé. Je n'ai pas de salaire d'ici la rentrée scolaire. J'ai du payer 700$ pour un hébergement afin de faire ma quarantaine. J'ai toujours payé mes taxes canadiennes chaque année. Puis-je avoir de l'aide?,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
"I am a member of the board of a not-for-profit daycare facility in Edmonton, AB. What programs are available to assist the child care sector, non-profits in particular?",EN,checked,Business,Nonprofit / community support
for a person with dissability,EN,checked,Business,Disabilities allowance
Donations to our charity have dropped drastically.  I heard there is help.  How do I access it?,EN,checked,Business,Nonprofit / community support
"numero faire une demande de puc
",FR,checked,Business,CERB
I remember the government saying something about about mandatory 10 sick days for employees. Has that been implemented?,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
Demande canadienne d’urgence,FR,checked,Business,CERB
Does my 2019 Taxes have to be in before l receive my $600. for my DTC l've  had since 1999.,EN,checked,Business,Disabilities allowance
Covid 19 alert app,EN,checked,Business,Health (Masks and face coverings / covid app / rule breaking / permissible activities)
"for recent graduate who still find difficulty to find an entry job because of cover situation is the support going to be extended as CERB program was extended for more 8 weeks?
",EN,checked,Business,CERB
Health care bonus,EN,checked,Business,Essential services and frontline workers
"Debate reveals battle between freedom and lifestyle

When Li Xiang broke up collectively boyfriend over a selfie she posted on social media, It was not just about a woman letting a man know he wasn't eligible to tell her how to dress in <a href=https://www.bestbrides.net/hot-chinese-girls-gallery/",EN,,Business,
Needed Cost to date to govt. for each item.,EN,checked,Business,Government strategy / guidance
Is there a subsidy to help a 32 year old young man obtain a class 1 Drivers License. He has his class 3 and has Been driving a vac truck.  Understand the cost to get class 1 is ten thousand dollars.,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
"Do we'd like online dating sites you should be politics activists

over half of his perseverance aimed dating blog, EHarmony, He achieved set out to single handedly bring our the divorce process price. ""and that is Neil's eyesight, this man's establishment associate told when the corporate dischar",EN,,Business,
"Religious institutions
",EN,checked,Business,Nonprofit / community support
"How do I get the Covid-19 app

",EN,checked,Business,Health (Masks and face coverings / covid app / rule breaking / permissible activities)
Il n'y a aucun endroit pour se connecter simplement.,FR,checked,Business,Contact someone / get address
"How do I get the Covid-19 app

",EN,checked,Business,Health (Masks and face coverings / covid app / rule breaking / permissible activities)
Trying to find guidelines on what to do if my business has an infected staff member,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
Own rental property,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Can legally businesses refuse to accept cash?,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Comment trouver mon dossier.je suis inscrit mais pas capable de trouver mon dossier avec arc.pour pcu,FR,checked,Business,CERB
"cerb reporting
",EN,checked,Business,EI and internet reporting
"prolongation du loyer du mois août pour Aide d’urgence du Canada pour le loyer commercial
",FR,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Disabled payments one time,EN,checked,Business,Disabilities allowance
full guidance for a business if an employee reports being sick and what to do about advising clients of possible exposure,EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
Bonjour jai un question comment je peux allez au Canada maintent car le liban ces pas un pays,FR,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
When will employers receive pay for essential workers,EN,checked,Business,Essential services and frontline workers
Emergency damage deposit,EN,checked,Business,Feedback unclear
"did not receive cerb cheque in mail
 ",EN,checked,Business,Contact someone / get address
To cesb founding cause I do believe I missed a date,EN,checked,Business,Students / CESB / CSSG
"Dating regarding single parents

If you feel nervous or confused about entering the complex world of dating again, you're not alone.

problem: dog park, zoo, throw away E. cheddar dairy product, collection, My backyard I don't really find myself in adult climates these days. How <a href=https://",EN,,Business,
I want to know what expenses can be deducted while working from home during Covid19,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
How do I apply for the wage top up. I work in childcare,EN,checked,Business,Essential services and frontline workers
"We are a non profit organization and we need volunteers to help our senior residents in continuing with our program to get them connected with their loved ones by helping out with the social visits ,zoom visits and window visits",EN,checked,Business,Nonprofit / community support
If you live outside canada are you entitled ti any benefits,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
